,epoch,iters,G_lr,D_lr,G_L1,G_GAN,G_total,D_loss,time,random_seed
0,0,100,0.00019801980198019803,0.00019801980198019803,44.830814361572266,3.170945644378662,48.00175857543945,0.06245803460478783,0 days 00:00:28.878785000,9678
1,0,200,0.00019801980198019803,0.00019801980198019803,27.213768005371094,2.516083240509033,29.72985076904297,0.13455960154533386,0 days 00:00:55.328316000,9678
2,0,300,0.00019801980198019803,0.00019801980198019803,41.849693298339844,2.350074052810669,44.19976806640625,0.2849150002002716,0 days 00:01:21.764766000,9678
3,0,400,0.00019801980198019803,0.00019801980198019803,38.95138931274414,1.693173885345459,40.644561767578125,1.1378693580627441,0 days 00:01:48.135661000,9678
0,1,100,0.00019801980198019803,0.00019801980198019803,31.39232063293457,3.279374122619629,34.671695709228516,0.05987491458654404,0 days 00:02:15.269006000,9678
1,1,200,0.00019801980198019803,0.00019801980198019803,24.271297454833984,2.5260250568389893,26.79732322692871,0.21468067169189453,0 days 00:02:41.172679000,9678
2,1,300,0.00019801980198019803,0.00019801980198019803,29.27007293701172,3.368471145629883,32.63854217529297,0.062356363981962204,0 days 00:03:06.358094000,9678
3,1,400,0.00019801980198019803,0.00019801980198019803,27.512117385864258,2.0318212509155273,29.54393768310547,0.5589450597763062,0 days 00:03:32.257842000,9678
0,2,100,0.00019801980198019803,0.00019801980198019803,30.37126922607422,1.5772759914398193,31.948545455932617,0.20233608782291412,0 days 00:03:58.671659000,9678
1,2,200,0.00019801980198019803,0.00019801980198019803,30.867942810058594,1.8434845209121704,32.71142578125,0.1618667095899582,0 days 00:04:24.753040000,9678
2,2,300,0.00019801980198019803,0.00019801980198019803,28.323217391967773,1.8220950365066528,30.145313262939453,0.20112082362174988,0 days 00:04:51.144991000,9678
3,2,400,0.00019801980198019803,0.00019801980198019803,27.361637115478516,2.1058688163757324,29.467506408691406,0.32998812198638916,0 days 00:05:17.607658000,9678
0,3,100,0.00019801980198019803,0.00019801980198019803,27.271488189697266,2.6938090324401855,29.96529769897461,0.2759736180305481,0 days 00:05:43.609786000,9678
1,3,200,0.00019801980198019803,0.00019801980198019803,36.133644104003906,1.3721083402633667,37.50575256347656,0.5773147940635681,0 days 00:06:09.538298000,9678
2,3,300,0.00019801980198019803,0.00019801980198019803,33.05452346801758,2.2642858028411865,35.318809509277344,0.268250972032547,0 days 00:06:35.996708000,9678
3,3,400,0.00019801980198019803,0.00019801980198019803,49.507747650146484,1.8345143795013428,51.342262268066406,0.650870680809021,0 days 00:07:02.264034000,9678
0,4,100,0.00019801980198019803,0.00019801980198019803,37.672672271728516,3.3470377922058105,41.019710540771484,0.3216901421546936,0 days 00:07:29.522359000,9678
1,4,200,0.00019801980198019803,0.00019801980198019803,28.298795700073242,1.968338131904602,30.267133712768555,0.3421633839607239,0 days 00:07:56.420924000,9678
2,4,300,0.00019801980198019803,0.00019801980198019803,43.488590240478516,1.4183874130249023,44.906978607177734,0.6767354011535645,0 days 00:08:22.962446000,9678
3,4,400,0.00019801980198019803,0.00019801980198019803,39.328250885009766,2.927706241607666,42.255958557128906,0.05510423704981804,0 days 00:08:49.454491000,9678
0,5,100,0.00019801980198019803,0.00019801980198019803,37.20323181152344,1.8756909370422363,39.078922271728516,0.5774657130241394,0 days 00:09:16.277719000,9678
1,5,200,0.00019801980198019803,0.00019801980198019803,27.29993438720703,2.487955093383789,29.78788948059082,0.20782548189163208,0 days 00:09:41.893184000,9678
2,5,300,0.00019801980198019803,0.00019801980198019803,29.260242462158203,1.5199307203292847,30.78017234802246,0.2496112883090973,0 days 00:10:07.825459000,9678
