,epoch,iters,G_L1,G_GAN,G_total,D_real,D_fake,time
0,7,100,0.40656939148902893,0.7086416482925415,41.36558151245117,0.2176203429698944,0.1581229865550995,0 days 00:09:01.415790000
1,7,200,0.35470354557037354,0.8717221617698669,36.342079162597656,0.2051834613084793,0.04246014729142189,0 days 00:09:19.592280000
2,7,300,0.32477250695228577,3.1969356536865234,35.67418670654297,0.2456987351179123,0.009009039029479027,0 days 00:09:37.738660000
3,8,0,0.3962021768093109,0.640045166015625,40.26026153564453,0.3074136972427368,0.20649486780166626,0 days 00:09:56.435180000
0,8,100,0.3286513388156891,0.6960092782974243,33.5611457824707,0.40233758091926575,0.24665632843971252,0 days 00:10:15.654312000
1,8,200,0.3341921269893646,0.3836347758769989,33.80284881591797,0.21187981963157654,0.1956852525472641,0 days 00:10:33.913781000
2,8,300,0.32162198424339294,0.8953443765640259,33.05754089355469,0.22954010963439941,0.9567503929138184,0 days 00:10:51.717038000
3,9,0,0.27702224254608154,0.44645237922668457,28.148677825927734,0.21277402341365814,0.20245260000228882,0 days 00:11:10.019868000
0,9,100,0.34391340613365173,3.421816110610962,37.81315994262695,0.4065729081630707,0.0073704225942492485,0 days 00:11:29.282421000
1,9,200,0.26359471678733826,1.9495878219604492,28.309059143066406,0.8900232911109924,0.013173100538551807,0 days 00:11:47.357852000
2,9,300,0.4222445487976074,2.1772167682647705,44.40167236328125,0.2191711664199829,0.0068189906887710094,0 days 00:12:05.398812000
3,10,0,0.30923548340797424,1.218347430229187,32.14189529418945,0.2170526683330536,0.038204241544008255,0 days 00:12:23.731281000
0,10,100,0.40724101662635803,1.0019184350967407,41.72602081298828,0.23009082674980164,0.12632359564304352,0 days 00:12:42.773028000
1,10,200,0.35479363799095154,1.8322770595550537,37.31163787841797,0.21960148215293884,0.009309401735663414,0 days 00:13:00.659259000
2,10,300,0.33329662680625916,3.720334053039551,37.04999542236328,0.21605904400348663,0.0028614280745387077,0 days 00:13:19.028417000
3,11,0,0.29493215680122375,3.5543785095214844,33.04759216308594,0.4307648241519928,0.011917255818843842,0 days 00:13:37.241964000
