,epoch,iters,G_L1,G_GAN,G_total,D_real,D_fake,time
0,0,0,0.37416282296180725,0.5614080429077148,37.977691650390625,0.5794777870178223,1.3667703866958618,0 days 00:00:11.267698000
0,0,0,0.37404704093933105,0.8599959015846252,38.26470184326172,0.8583071231842041,0.9977697134017944,0 days 00:00:09.739448000
0,0,100,0.36422327160835266,1.5310664176940918,37.95339584350586,0.37191691994667053,0.18349261581897736,0 days 00:00:29.436172000
1,0,200,0.3450307846069336,1.598256230354309,36.10133361816406,0.21229687333106995,0.07283426076173782,0 days 00:00:47.261932000
2,0,300,0.3635060787200928,2.5140814781188965,38.864688873291016,0.20966623723506927,0.025445766746997833,0 days 00:01:05.383006000
3,1,0,0.21566571295261383,1.306249737739563,22.872821807861328,0.2663074731826782,0.10984580963850021,0 days 00:01:23.372165000
0,1,100,0.4069247245788574,1.3941057920455933,42.086578369140625,0.21989212930202484,0.048405736684799194,0 days 00:01:42.162787000
1,1,200,0.4642336070537567,0.9547033309936523,47.3780632019043,0.20711076259613037,0.03536082059144974,0 days 00:02:00.512928000
2,1,300,0.3586193323135376,2.071394205093384,37.93333053588867,0.20535078644752502,0.017927411943674088,0 days 00:02:18.540319000
3,2,0,0.3076627254486084,1.7081964015960693,32.47446823120117,0.22090721130371094,0.017214085906744003,0 days 00:02:36.866284000
0,2,100,0.30291688442230225,0.9772171974182129,31.268905639648438,0.6055201292037964,1.0019235610961914,0 days 00:02:55.653266000
1,2,200,0.3221162259578705,1.3717116117477417,33.583335876464844,0.21988652646541595,0.05125221982598305,0 days 00:03:13.562453000
2,2,300,0.42486152052879333,2.182429313659668,44.668582916259766,0.23376911878585815,0.03287969157099724,0 days 00:03:31.749995000
3,3,0,0.2810686528682709,0.6197682619094849,28.726633071899414,0.3883792757987976,0.18358640372753143,0 days 00:03:49.708442000
0,3,100,0.39132657647132874,1.6474199295043945,40.78007507324219,0.2504153847694397,0.025437287986278534,0 days 00:04:08.417687000
1,3,200,0.3113150894641876,2.1051692962646484,33.23667907714844,0.20307959616184235,0.016639916226267815,0 days 00:04:26.538444000
2,3,300,0.4386279284954071,2.1357696056365967,45.99856185913086,0.219303160905838,0.019034670665860176,0 days 00:04:44.354296000
3,4,0,0.34556660056114197,0.4817824363708496,35.0384407043457,0.2114759087562561,0.24444521963596344,0 days 00:05:02.457980000
0,4,100,0.3938560485839844,1.1700536012649536,40.555660247802734,0.21187755465507507,0.046274665743112564,0 days 00:05:21.046316000
1,4,200,0.35827910900115967,1.1606183052062988,36.988529205322266,0.2117895483970642,0.06821627914905548,0 days 00:05:39.137590000
2,4,300,0.25741901993751526,0.43799737095832825,26.179899215698242,0.6767394542694092,0.9987670183181763,0 days 00:05:57.024849000
3,5,0,0.3621443808078766,2.087973117828369,38.30241394042969,0.2195177674293518,0.010952604934573174,0 days 00:06:15.635751000
0,5,100,0.3403744399547577,1.0018550157546997,35.03929901123047,0.22869838774204254,0.03540869057178497,0 days 00:06:35.217900000
1,5,200,0.38263359665870667,0.4709665775299072,38.73432540893555,0.22469660639762878,0.7585417628288269,0 days 00:06:53.213475000
2,5,300,0.44149574637413025,0.8310836553573608,44.98065948486328,0.21329975128173828,0.0898570567369461,0 days 00:07:11.137558000
3,6,0,0.2994590699672699,1.369420051574707,31.315326690673828,0.20489656925201416,0.012951945886015892,0 days 00:07:28.974518000
0,6,100,0.34596744179725647,2.5269596576690674,37.12370300292969,0.5478889346122742,0.024190932512283325,0 days 00:07:48.210035000
1,6,200,0.27666446566581726,2.3292033672332764,29.995649337768555,0.2801273465156555,0.023798922076821327,0 days 00:08:06.291558000
2,6,300,0.352620393037796,1.9166717529296875,37.1787109375,0.21684667468070984,0.009976730681955814,0 days 00:08:24.427712000
3,7,0,0.34848126769065857,1.7462189197540283,36.59434509277344,0.244631826877594,0.013528415001928806,0 days 00:08:42.613141000
