,epoch,iters,G_L1,G_GAN,G_total,D_loss,time,random_seed
3,13,400,39.36012649536133,2.2971911430358887,41.657318115234375,0.3609786927700043,0 days 00:23:26.047350000,9678
0,14,100,23.543163299560547,1.234440565109253,24.777603149414062,0.1719610095024109,0 days 00:23:51.077451000,9678
1,14,200,40.587345123291016,2.195861339569092,42.783206939697266,0.2478124350309372,0 days 00:24:16.006025000,9678
2,14,300,31.96021270751953,2.6757678985595703,34.63597869873047,0.2034045308828354,0 days 00:24:40.985501000,9678
3,14,400,37.02449417114258,2.4965600967407227,39.521053314208984,0.13462746143341064,0 days 00:25:05.359160000,9678
0,15,100,30.587568283081055,1.8844960927963257,32.47206497192383,0.1465006023645401,0 days 00:25:31.027942000,9678
1,15,200,32.8304443359375,2.1550543308258057,34.98550033569336,0.10894753783941269,0 days 00:25:55.986866000,9678
2,15,300,30.314544677734375,2.3804099559783936,32.69495391845703,0.31422796845436096,0 days 00:26:20.731189000,9678
3,15,400,24.437129974365234,2.4409217834472656,26.8780517578125,0.3156209886074066,0 days 00:26:45.881775000,9678
0,16,100,45.10302734375,1.8109315633773804,46.91395950317383,0.3378623425960541,0 days 00:27:12.037497000,9678
1,16,200,28.25155258178711,2.9358839988708496,31.187437057495117,0.051506977528333664,0 days 00:27:37.025449000,9678
2,16,300,31.354087829589844,2.105059862136841,33.45914840698242,0.09048228710889816,0 days 00:28:02.144275000,9678
3,16,400,43.75812911987305,1.6738698482513428,45.43199920654297,0.7653064727783203,0 days 00:28:27.678610000,9678
0,17,100,24.533153533935547,2.1296582221984863,26.662811279296875,0.26358306407928467,0 days 00:28:53.514087000,9678
1,17,200,31.820880889892578,1.843232274055481,33.66411209106445,0.34909364581108093,0 days 00:29:18.495192000,9678
2,17,300,32.70444107055664,1.6956242322921753,34.40006637573242,0.38132068514823914,0 days 00:29:43.181491000,9678
3,17,400,31.75730323791504,2.599182367324829,34.35648727416992,0.5884219408035278,0 days 00:30:08.099166000,9678
0,18,100,25.719715118408203,2.3408849239349365,28.06060028076172,0.09523031860589981,0 days 00:30:33.952037000,9678
1,18,200,30.339244842529297,1.4614825248718262,31.80072784423828,0.6113256216049194,0 days 00:30:58.437509000,9678
2,18,300,17.942466735839844,1.8427127599716187,19.785179138183594,0.8768420815467834,0 days 00:31:23.630822000,9678
3,18,400,26.18430519104004,2.580634593963623,28.76494026184082,0.45468753576278687,0 days 00:31:47.969286000,9678
0,19,100,32.396793365478516,1.7800815105438232,34.176876068115234,0.08242349326610565,0 days 00:32:14.020016000,9678
1,19,200,34.819087982177734,1.4138236045837402,36.23291015625,0.6168738603591919,0 days 00:32:38.817637000,9678
2,19,300,25.16905403137207,1.6555423736572266,26.824596405029297,0.21305829286575317,0 days 00:33:03.181985000,9678
3,19,400,36.082157135009766,1.7494595050811768,37.83161544799805,0.44692400097846985,0 days 00:33:28.293483000,9678
0,20,100,25.773319244384766,2.2151377201080322,27.98845672607422,0.30334216356277466,0 days 00:33:53.952588000,9678
1,20,200,22.782432556152344,2.352890968322754,25.13532257080078,0.27291643619537354,0 days 00:34:18.958699000,9678
2,20,300,21.3178768157959,2.279092788696289,23.596969604492188,0.3728775978088379,0 days 00:34:43.804645000,9678
3,20,400,32.58319854736328,2.0671982765197754,34.65039825439453,0.5669061541557312,0 days 00:35:08.704238000,9678
0,21,100,29.6572265625,2.1203689575195312,31.77759552001953,0.4984038770198822,0 days 00:35:34.588143000,9678
1,21,200,42.24314880371094,1.3808125257492065,43.62396240234375,0.8465372920036316,0 days 00:35:59.255650000,9678
2,21,300,23.855783462524414,3.3986780643463135,27.25446128845215,0.14850348234176636,0 days 00:36:23.778724000,9678
3,21,400,31.539520263671875,2.088426351547241,33.62794494628906,0.6711600422859192,0 days 00:36:48.867832000,9678
0,22,100,29.797367095947266,2.349414587020874,32.14678192138672,0.42937105894088745,0 days 00:37:14.576564000,9678
1,22,200,44.819889068603516,1.1609526872634888,45.98084259033203,0.24828726053237915,0 days 00:37:39.414365000,9678
2,22,300,25.366151809692383,1.988702416419983,27.354854583740234,0.2550307512283325,0 days 00:38:03.964077000,9678
3,22,400,22.89488983154297,1.8394255638122559,24.734315872192383,0.1488749086856842,0 days 00:38:28.487592000,9678
0,23,100,19.48345947265625,1.385864019393921,20.86932373046875,0.34520572423934937,0 days 00:38:54.455454000,9678
1,23,200,22.23204231262207,1.3222509622573853,23.554292678833008,0.2747189402580261,0 days 00:39:19.517710000,9678
2,23,300,21.41350746154785,2.22649884223938,23.64000701904297,0.5007734298706055,0 days 00:39:44.300071000,9678
3,23,400,33.187557220458984,1.0947976112365723,34.28235626220703,0.5500077605247498,0 days 00:40:09.431987000,9678
0,24,100,25.11409568786621,1.140899896621704,26.254995346069336,0.12249017506837845,0 days 00:40:35.367034000,9678
1,24,200,33.48263931274414,2.781463146209717,36.264102935791016,0.19316722452640533,0 days 00:41:00.773463000,9678
2,24,300,31.829374313354492,2.0620388984680176,33.891414642333984,0.5625081062316895,0 days 00:41:25.536535000,9678
3,24,400,32.86702346801758,1.9276165962219238,34.794639587402344,0.5060297846794128,0 days 00:41:50.499954000,9678
0,25,100,16.625633239746094,1.591093897819519,18.216726303100586,0.27747470140457153,0 days 00:42:16.217710000,9678
1,25,200,19.6158447265625,2.144883871078491,21.76072883605957,0.1645171344280243,0 days 00:42:41.341543000,9678
2,25,300,22.42673683166504,1.7321926355361938,24.1589298248291,0.3129166066646576,0 days 00:43:06.221310000,9678
3,25,400,24.552059173583984,2.292896032333374,26.844955444335938,0.3344457149505615,0 days 00:43:30.687276000,9678
0,26,100,24.739784240722656,2.1430118083953857,26.882795333862305,0.5337490439414978,0 days 00:43:56.716542000,9678
1,26,200,20.465227127075195,2.0446624755859375,22.509889602661133,0.7314722537994385,0 days 00:44:21.887863000,9678
2,26,300,29.90159034729004,2.3144829273223877,32.21607208251953,0.5689356923103333,0 days 00:44:47.075270000,9678
3,26,400,30.7526798248291,1.8874117136001587,32.64009094238281,0.29253333806991577,0 days 00:45:12.136774000,9678
0,27,100,21.079694747924805,1.2131476402282715,22.292842864990234,0.6354171633720398,0 days 00:45:37.801025000,9678
1,27,200,23.385887145996094,1.7488369941711426,25.134723663330078,0.24769119918346405,0 days 00:46:02.623172000,9678
2,27,300,15.615375518798828,1.2300140857696533,16.84539031982422,0.2744908034801483,0 days 00:46:27.169582000,9678
3,27,400,25.417402267456055,2.6003849506378174,28.01778793334961,0.6022186279296875,0 days 00:46:51.803739000,9678
0,28,100,23.597482681274414,1.6383579969406128,25.23583984375,0.8838520646095276,0 days 00:47:17.468169000,9678
1,28,200,26.200786590576172,2.1574175357818604,28.358203887939453,0.45492053031921387,0 days 00:47:42.116770000,9678
2,28,300,20.17717742919922,1.9685002565383911,22.14567756652832,0.13605128228664398,0 days 00:48:07.422368000,9678
3,28,400,21.490705490112305,2.7514686584472656,24.24217414855957,0.2749229967594147,0 days 00:48:32.111425000,9678
0,29,100,24.927078247070312,2.1434555053710938,27.070533752441406,0.22557596862316132,0 days 00:48:57.225030000,9678
1,29,200,25.660537719726562,2.2774240970611572,27.93796157836914,0.20782144367694855,0 days 00:49:22.346164000,9678
2,29,300,24.128101348876953,1.992475152015686,26.120576858520508,0.23638123273849487,0 days 00:49:46.958031000,9678
3,29,400,21.645809173583984,2.0159196853637695,23.661727905273438,0.36393487453460693,0 days 00:50:11.406931000,9678
0,30,100,23.30615997314453,0.6866205930709839,23.992780685424805,0.6195067763328552,0 days 00:50:36.590370000,9678
1,30,200,24.228275299072266,1.6575924158096313,25.885868072509766,0.19159871339797974,0 days 00:51:00.936066000,9678
2,30,300,23.787689208984375,2.3459789752960205,26.133668899536133,0.22958602011203766,0 days 00:51:25.145906000,9678
3,30,400,25.877723693847656,1.6285006999969482,27.506223678588867,0.4796804189682007,0 days 00:51:49.980110000,9678
0,31,100,23.412525177001953,1.0495179891586304,24.46204376220703,0.3228457272052765,0 days 00:52:16.275782000,9678
1,31,200,19.929058074951172,1.6845418214797974,21.61359977722168,0.4051109552383423,0 days 00:52:41.227352000,9678
2,31,300,20.34278678894043,2.6232552528381348,22.966041564941406,0.3520384430885315,0 days 00:53:06.121486000,9678
3,31,400,30.322418212890625,2.31057071685791,32.63298797607422,0.3100670278072357,0 days 00:53:31.144841000,9678
0,32,100,26.588308334350586,1.7393500804901123,28.32765769958496,0.8464286923408508,0 days 00:53:57.160577000,9678
1,32,200,16.406002044677734,2.2930853366851807,18.699087142944336,0.40117761492729187,0 days 00:54:21.695179000,9678
2,32,300,13.828116416931152,3.0666191577911377,16.89473533630371,0.34863972663879395,0 days 00:54:46.504040000,9678
3,32,400,22.671873092651367,2.39040470123291,25.062278747558594,0.8012058734893799,0 days 00:55:10.859336000,9678
0,33,100,18.490392684936523,1.5956629514694214,20.086055755615234,0.43793022632598877,0 days 00:55:36.049866000,9678
1,33,200,16.951095581054688,2.6544244289398193,19.605520248413086,0.5572067499160767,0 days 00:56:00.930873000,9678
2,33,300,22.889617919921875,1.2798452377319336,24.169464111328125,0.44533324241638184,0 days 00:56:25.284141000,9678
3,33,400,30.716720581054688,1.464245319366455,32.180965423583984,0.5197241902351379,0 days 00:56:49.760309000,9678
0,34,100,21.83670997619629,1.8704988956451416,23.70720863342285,0.5200196504592896,0 days 00:57:15.489440000,9678
1,34,200,28.054601669311523,2.3148117065429688,30.369413375854492,0.39298316836357117,0 days 00:57:39.976888000,9678
2,34,300,28.727075576782227,2.0208683013916016,30.747943878173828,0.3690865933895111,0 days 00:58:04.904726000,9678
3,34,400,23.369722366333008,1.8649393320083618,25.234661102294922,0.2954144775867462,0 days 00:58:29.957058000,9678
0,35,100,19.48066520690918,1.869132399559021,21.34979820251465,0.13807886838912964,0 days 00:58:55.719281000,9678
1,35,200,17.357770919799805,2.833590269088745,20.191360473632812,0.189327210187912,0 days 00:59:20.160822000,9678
2,35,300,25.57414436340332,2.200197696685791,27.774341583251953,0.20257046818733215,0 days 00:59:44.334768000,9678
3,35,400,28.59379005432129,1.7409133911132812,30.33470344543457,1.0434783697128296,0 days 01:00:08.730722000,9678
0,36,100,20.1665096282959,2.6293489933013916,22.79585838317871,0.3042565882205963,0 days 01:00:34.122459000,9678
1,36,200,29.556640625,2.1752142906188965,31.731855392456055,0.41839662194252014,0 days 01:00:58.367815000,9678
2,36,300,23.385807037353516,1.190611720085144,24.576417922973633,0.6172565817832947,0 days 01:01:22.706332000,9678
3,36,400,21.63542938232422,2.770094394683838,24.4055233001709,0.27901437878608704,0 days 01:01:46.972745000,9678
0,37,100,22.66240882873535,2.5203018188476562,25.182710647583008,0.30714893341064453,0 days 01:02:12.484108000,9678
1,37,200,16.908252716064453,1.0438640117645264,17.952116012573242,0.48532623052597046,0 days 01:02:36.882340000,9678
2,37,300,20.132349014282227,2.1470134258270264,22.279361724853516,0.3630547523498535,0 days 01:03:01.706772000,9678
3,37,400,23.21662712097168,0.5864380598068237,23.803064346313477,0.5091357231140137,0 days 01:03:26.635888000,9678
0,38,100,28.02680778503418,2.471757173538208,30.498565673828125,0.3022996783256531,0 days 01:03:52.655068000,9678
1,38,200,15.240462303161621,1.6055868864059448,16.84604835510254,1.0583889484405518,0 days 01:04:17.621539000,9678
2,38,300,25.447649002075195,1.254062533378601,26.701711654663086,0.19251614809036255,0 days 01:04:43.385605000,9678
3,38,400,16.12248992919922,1.8801876306533813,18.00267791748047,0.6670812368392944,0 days 01:05:10.148020000,9678
0,39,100,18.30178451538086,1.691123604774475,19.992908477783203,0.3667556643486023,0 days 01:05:38.295773000,9678
1,39,200,15.377311706542969,2.5214290618896484,17.898740768432617,0.4943174421787262,0 days 01:06:04.105133000,9678
2,39,300,23.2637882232666,0.9707512259483337,24.234539031982422,0.451250821352005,0 days 01:06:29.694169000,9678
3,39,400,25.62917137145996,2.290891170501709,27.920063018798828,0.5401855111122131,0 days 01:06:55.126356000,9678
0,40,100,17.863187789916992,2.4062862396240234,20.269474029541016,0.2646109461784363,0 days 01:07:21.829564000,9678
1,40,200,26.520153045654297,1.7465215921401978,28.266674041748047,0.40979284048080444,0 days 01:07:47.047992000,9678
2,40,300,20.767139434814453,1.0137922763824463,21.78093147277832,0.6532151699066162,0 days 01:08:13.245880000,9678
3,40,400,22.2249755859375,0.8023177981376648,23.027294158935547,0.40146294236183167,0 days 01:08:40.560064000,9678
0,41,100,20.548606872558594,1.2756518125534058,21.82425880432129,0.34530705213546753,0 days 01:09:09.151023000,9678
1,41,200,31.614852905273438,2.0296099185943604,33.64446258544922,0.30319666862487793,0 days 01:09:36.429582000,9678
2,41,300,22.16097640991211,1.4198921918869019,23.580867767333984,0.20437011122703552,0 days 01:10:04.139047000,9678
3,41,400,19.745147705078125,1.5667674541473389,21.311914443969727,0.5223913788795471,0 days 01:10:31.869487000,9678
0,42,100,21.840648651123047,3.406846761703491,25.247495651245117,2.5487401485443115,0 days 01:11:02.184221000,9678
1,42,200,15.830856323242188,2.5435688495635986,18.374425888061523,0.42447319626808167,0 days 01:11:30.534142000,9678
2,42,300,18.630931854248047,1.506873607635498,20.137805938720703,0.3112027049064636,0 days 01:11:59.020180000,9678
3,42,400,20.721765518188477,1.2798625230789185,22.001628875732422,0.7342571020126343,0 days 01:12:27.033312000,9678
0,43,100,22.943635940551758,0.9864439964294434,23.93008041381836,0.332570880651474,0 days 01:12:56.118733000,9678
1,43,200,16.965784072875977,1.9513782262802124,18.91716194152832,0.44744497537612915,0 days 01:13:23.592425000,9678
2,43,300,29.432085037231445,1.7396591901779175,31.171743392944336,0.3363346457481384,0 days 01:13:51.796073000,9678
3,43,400,24.18638038635254,1.2841507196426392,25.470531463623047,0.5994174480438232,0 days 01:14:19.217378000,9678
0,44,100,18.834096908569336,1.5363372564315796,20.370433807373047,0.6020295023918152,0 days 01:14:47.327447000,9678
1,44,200,20.669872283935547,1.438644289970398,22.108516693115234,0.3239556849002838,0 days 01:15:14.292440000,9678
2,44,300,21.31879997253418,1.3137681484222412,22.632568359375,0.2459687888622284,0 days 01:15:41.595369000,9678
3,44,400,26.68902587890625,1.2711673974990845,27.960193634033203,0.5725233554840088,0 days 01:16:08.711468000,9678
0,45,100,18.684871673583984,2.241934061050415,20.92680549621582,0.3441651463508606,0 days 01:16:36.825970000,9678
1,45,200,19.83418846130371,1.6068432331085205,21.44103240966797,0.699923574924469,0 days 01:17:04.158388000,9678
2,45,300,16.117511749267578,1.1395983695983887,17.257110595703125,0.5085130333900452,0 days 01:17:31.317396000,9678
3,45,400,20.02012062072754,0.93087238073349,20.950992584228516,0.24484103918075562,0 days 01:17:58.597539000,9678
0,46,100,15.042695045471191,2.1080269813537598,17.15072250366211,0.29156383872032166,0 days 01:18:26.860896000,9678
1,46,200,21.25564193725586,1.0860413312911987,22.34168243408203,0.31654655933380127,0 days 01:18:53.686022000,9678
2,46,300,22.30325698852539,2.018613338470459,24.321870803833008,0.38954412937164307,0 days 01:19:20.485195000,9678
3,46,400,19.29132843017578,2.031639814376831,21.322967529296875,0.559701681137085,0 days 01:19:47.551604000,9678
0,47,100,16.993717193603516,1.9945361614227295,18.988252639770508,0.6490312218666077,0 days 01:20:16.437561000,9678
1,47,200,20.014936447143555,1.3383970260620117,21.35333251953125,0.4996297061443329,0 days 01:20:44.594595000,9678
2,47,300,19.779254913330078,1.6629480123519897,21.442203521728516,0.48923423886299133,0 days 01:21:11.170744000,9678
3,47,400,22.737260818481445,1.4870624542236328,24.224323272705078,0.2611439824104309,0 days 01:21:38.106552000,9678
0,48,100,25.022336959838867,2.165123462677002,27.18745994567871,0.18436503410339355,0 days 01:22:06.593890000,9678
1,48,200,15.933579444885254,1.8065123558044434,17.74009132385254,0.410988450050354,0 days 01:22:33.603591000,9678
2,48,300,19.408945083618164,1.5479880571365356,20.956933975219727,0.30427971482276917,0 days 01:23:00.566365000,9678
3,48,400,17.67947769165039,1.7347314357757568,19.414209365844727,0.25472360849380493,0 days 01:23:27.962769000,9678
0,49,100,19.97399139404297,2.030858278274536,22.004850387573242,0.4664849042892456,0 days 01:23:56.141495000,9678
1,49,200,19.252138137817383,1.9505451917648315,21.202682495117188,0.22754809260368347,0 days 01:24:23.114105000,9678
2,49,300,22.593467712402344,1.2134981155395508,23.806964874267578,0.4506736099720001,0 days 01:24:49.994855000,9678
3,49,400,13.023890495300293,1.6555964946746826,14.679487228393555,0.4150254726409912,0 days 01:25:17.894864000,9678
0,50,100,21.864641189575195,1.5407471656799316,23.40538787841797,0.32388925552368164,0 days 01:25:46.119839000,9678
1,50,200,23.03531265258789,1.4916176795959473,24.52692985534668,0.5457210540771484,0 days 01:26:12.943544000,9678
2,50,300,18.702911376953125,1.4660677909851074,20.16897964477539,0.24762767553329468,0 days 01:26:40.009103000,9678
3,50,400,22.869176864624023,1.7887850999832153,24.657962799072266,0.43867266178131104,0 days 01:27:07.166515000,9678
0,51,100,17.02985191345215,1.3577834367752075,18.387636184692383,0.4404343366622925,0 days 01:27:35.392322000,9678
1,51,200,10.961941719055176,0.9461624622344971,11.908103942871094,0.3178408741950989,0 days 01:28:02.392502000,9678
2,51,300,14.898996353149414,1.9641294479370117,16.86312484741211,0.837243378162384,0 days 01:28:30.408590000,9678
3,51,400,12.48892593383789,1.9715576171875,14.46048355102539,0.5857594013214111,0 days 01:28:58.594730000,9678
0,52,100,20.379409790039062,1.1104050874710083,21.48981475830078,0.37872248888015747,0 days 01:29:28.585120000,9678
1,52,200,17.63237190246582,1.5217336416244507,19.15410614013672,0.42058905959129333,0 days 01:29:57.314127000,9678
2,52,300,25.33036231994629,1.2306314706802368,26.560993194580078,0.4676815867424011,0 days 01:30:25.442614000,9678
3,52,400,18.07611083984375,0.7299864292144775,18.80609703063965,0.6327286958694458,0 days 01:30:53.402462000,9678
0,53,100,16.93338966369629,1.5801048278808594,18.51349449157715,0.24203479290008545,0 days 01:31:22.839340000,9678
1,53,200,13.076363563537598,1.4604090452194214,14.536772727966309,0.30440080165863037,0 days 01:31:49.518846000,9678
2,53,300,19.11563491821289,1.7163490056991577,20.83198356628418,0.4516211450099945,0 days 01:32:16.723511000,9678
3,53,400,14.597628593444824,2.3888471126556396,16.986474990844727,0.435171514749527,0 days 01:32:44.137026000,9678
0,54,100,15.89790153503418,1.8241724967956543,17.722074508666992,0.27855271100997925,0 days 01:33:13.555180000,9678
1,54,200,13.175945281982422,2.1225087642669678,15.298454284667969,0.2588382959365845,0 days 01:33:40.648012000,9678
2,54,300,16.019298553466797,0.8433200120925903,16.862619400024414,0.47722411155700684,0 days 01:34:07.872389000,9678
3,54,400,12.910537719726562,1.5612657070159912,14.471803665161133,0.49378108978271484,0 days 01:34:34.859797000,9678
0,55,100,25.560352325439453,1.7618589401245117,27.32221221923828,0.6293619275093079,0 days 01:35:03.749307000,9678
1,55,200,12.733231544494629,1.4396835565567017,14.1729154586792,0.7916967868804932,0 days 01:35:30.755605000,9678
2,55,300,16.682008743286133,2.3533170223236084,19.03532600402832,0.22165650129318237,0 days 01:35:57.815938000,9678
3,55,400,16.219146728515625,1.3813624382019043,17.600509643554688,0.42415663599967957,0 days 01:36:24.378161000,9678
0,56,100,14.193641662597656,1.064660906791687,15.258302688598633,0.2077956199645996,0 days 01:36:52.982029000,9678
1,56,200,20.333391189575195,2.012075185775757,22.34546661376953,0.5357862114906311,0 days 01:37:20.173797000,9678
2,56,300,14.100724220275879,1.6298894882202148,15.730613708496094,0.4064541459083557,0 days 01:37:46.935193000,9678
3,56,400,18.609027862548828,1.699040412902832,20.308067321777344,0.40288668870925903,0 days 01:38:13.669487000,9678
0,57,100,16.43613624572754,1.6111845970153809,18.047321319580078,0.2259480357170105,0 days 01:38:41.994013000,9678
1,57,200,19.956327438354492,1.7212389707565308,21.677566528320312,0.4196067452430725,0 days 01:39:09.304137000,9678
2,57,300,13.52546501159668,2.4254753589630127,15.950940132141113,0.29273417592048645,0 days 01:39:36.564806000,9678
3,57,400,17.50078582763672,1.5534307956695557,19.054216384887695,0.33673959970474243,0 days 01:40:03.417802000,9678
0,58,100,16.434778213500977,1.1122697591781616,17.547048568725586,0.48883917927742004,0 days 01:40:31.994003000,9678
1,58,200,13.069412231445312,2.5363502502441406,15.605762481689453,0.2729676365852356,0 days 01:40:58.925302000,9678
2,58,300,17.5731258392334,1.9017186164855957,19.474843978881836,0.4346458315849304,0 days 01:41:27.348128000,9678
3,58,400,20.225234985351562,1.9913816452026367,22.216617584228516,0.4759427309036255,0 days 01:41:54.695614000,9678
0,59,100,19.808761596679688,1.0637816190719604,20.872543334960938,0.3308153748512268,0 days 01:42:23.559494000,9678
1,59,200,16.57610321044922,2.138746500015259,18.7148494720459,0.45864754915237427,0 days 01:42:50.675552000,9678
2,59,300,16.305513381958008,1.49772310256958,17.80323600769043,0.7317540049552917,0 days 01:43:17.581470000,9678
3,59,400,17.699928283691406,1.4619019031524658,19.16183090209961,0.35722869634628296,0 days 01:43:44.791164000,9678
0,60,100,23.865259170532227,0.9936162829399109,24.858875274658203,0.2650541663169861,0 days 01:44:12.618597000,9678
1,60,200,24.44117546081543,2.0133566856384277,26.454532623291016,0.464873731136322,0 days 01:44:39.387802000,9678
2,60,300,15.427042961120605,1.2304786443710327,16.657522201538086,0.6946211457252502,0 days 01:45:06.751564000,9678
3,60,400,20.326059341430664,0.9127146005630493,21.238773345947266,0.5725686550140381,0 days 01:45:34.067964000,9678
0,61,100,13.153608322143555,2.0522470474243164,15.205855369567871,0.4637430012226105,0 days 01:46:03.522172000,9678
